,user_location,id,date,text,in_reply_to_status_id,in_reply_to_user_id,retweet_original_user,retweet_original_tweet_id,hashtags,retweet_count,favorite_count,source,user_id
334,( Scotland UK ) ,1517966841183940609,2022-04-23 20:41:12+00:00,"@starkybhoy88 
#TysonFury 
Each vinyl is custom made to order handmade by myself 
 #Army #Veteran how suffers from #PTSD 
if anyone is interested please contact me for details https://t.co/OIJoqgzcmv",,1238661284.0,,,"['TysonFury', 'Army', 'Veteran']",0,0,Twitter Web App,2390888330.0
335,( Scotland UK ) ,1517966781821952001,2022-04-23 20:40:57+00:00,"@MickDonnelly15 
#TysonFury 
Each vinyl is custom made to order handmade by myself 
 #Army #Veteran how suffers from #PTSD 
if anyone is interested please contact me for details https://t.co/GljcLpzB1A",,1.349315200818811e+18,,,"['TysonFury', 'Army', 'Veteran']",0,0,Twitter Web App,2390888330.0
336,,1517966294779404290,2022-04-23 20:39:01+00:00,Grandpa is coming home.🙏🏼❤️#GodBlessOurMilitary #GodBlessAmerica #Army #Veteran  #Honor #integrity #Grandpa https://t.co/znptvviYNz,,,,,"['GodBlessOurMilitary', 'GodBlessAmerica', 'Army', 'Veteran', 'Honor', 'integrity', 'Grandpa']",1,1,Twitter for iPhone,1.491248244801872e+18
337,★En alguna parte.★,1517966265393946624,2022-04-23 20:38:54+00:00,"Ya saben, prioridades 🤭 😂
#ARMY #BTSARMY #BTS_twt 
https://t.co/wMDz6JJQs4",,,,,"['ARMY', 'BTSARMY', 'BTS_twt']",0,0,Twitter for Android,1.4913075983516836e+18
338,( Scotland UK ) ,1517966225929818115,2022-04-23 20:38:45+00:00,"#TysonFury @Tyson_Fury 
Each vinyl is custom made to order handmade by myself 
 #Army #Veteran how suffers from #PTSD 
if anyone is interested please contact me for details https://t.co/E3Z2O2Pr2o",,,,,"['TysonFury', 'Army', 'Veteran']",1,2,Twitter Web App,2390888330.0
339,( Scotland UK ) ,1517966118182346752,2022-04-23 20:38:19+00:00,"@SimonDonnelly13 
#TysonFury 
Each vinyl is custom made to order handmade by myself 
 #Army #Veteran how suffers from #PTSD 
if anyone is interested please contact me for details https://t.co/SR9hHfFTGa",,9.141204414716846e+17,,,"['TysonFury', 'Army', 'Veteran']",0,0,Twitter Web App,2390888330.0
340,( Scotland UK ) ,1517966058468278272,2022-04-23 20:38:05+00:00,"@fionad65 
#TysonFury 
Each vinyl is custom made to order handmade by myself 
 #Army #Veteran how suffers from #PTSD 
if anyone is interested please contact me for details https://t.co/rtVuYKDxdg",,859881223.0,,,"['TysonFury', 'Army', 'Veteran']",1,3,Twitter Web App,2390888330.0
341,,1517965708142948352,2022-04-23 20:36:41+00:00,I stan #BTS and #Jungkook. I think I just became an #ARMY 😎 https://t.co/78LChWfWmr,,,,,"['BTS', 'Jungkook', 'ARMY']",0,0,Twitter for iPhone,1.5173849557848842e+18
342,( Scotland UK ) ,1517965652392304651,2022-04-23 20:36:28+00:00,"@BTSportBoxing @Tyson_Fury Each vinyl is custom made to order handmade by myself
 #Army #Veteran how suffers from #PTSD 
if anyone is interested please contact me for details https://t.co/EjEjxqxP9f",1.5179416971996815e+18,198867393.0,,,"['Army', 'Veteran']",0,0,Twitter Web App,2390888330.0
343,,1517965611284025344,2022-04-23 20:36:18+00:00,"💙Solo para recordarles que mañana sale el OST de Jimin y las metas 💙✨️

#JiminOSTlsComing 
JIMIN OST IS COMING 💙✨️ #ARMY #BTSARMY #JIMINOST #방탄소년단 
#BTSARMY 
#loveyourself_ot7mx💜🇲🇽 https://t.co/bNw9TggN7L",,,,,['JiminOSTlsComing'],0,0,Twitter for iPhone,1.4599772781468426e+18
344,( Scotland UK ) ,1517965590501085184,2022-04-23 20:36:13+00:00,"@MichaelBensonn Each vinyl is custom made to order handmade by myself
 #Army #Veteran how suffers from #PTSD 
if anyone is interested please contact me for details https://t.co/u1h0D0Sdg1",1.517932196602028e+18,633956395.0,,,"['Army', 'Veteran', 'PTSD']",0,1,Twitter Web App,2390888330.0
345,( Scotland UK ) ,1517965526579961863,2022-04-23 20:35:58+00:00,"@BTSportBoxing Each vinyl is custom made to order handmade by myself
 #Army #Veteran how suffers from #PTSD 
if anyone is interested please contact me for details https://t.co/gT929vkAlI",1.5178885257644196e+18,198867393.0,,,"['Army', 'Veteran', 'PTSD']",0,0,Twitter Web App,2390888330.0
346,( Scotland UK ) ,1517965476143542276,2022-04-23 20:35:46+00:00,"@DAZNBoxing @Tyson_Fury @trboxing Each vinyl is custom made to order handmade by myself
 #Army #Veteran how suffers from #PTSD 
if anyone is interested please contact me for details https://t.co/DJllB6wfS6",1.5179331951232164e+18,7.379644083542876e+17,,,"['Army', 'Veteran']",1,1,Twitter Web App,2390888330.0
347,Virginia,1517965396015566849,2022-04-23 20:35:27+00:00,Ok this is hilarious🤣I love #BTSArmy #Army #BTS https://t.co/bc94FKFUuD,,,,,"['BTSArmy', 'Army', 'BTS']",0,0,Twitter for iPhone,807920143.0
